Brand	Series	Model	Description
HP	DesignJet 750c Plus	51645A#140	HP 45 Black Original Ink Cartridge (51645A)
HP	DesignJet 750cm	51645A#140	HP 45 Black Original Ink Cartridge (51645A)
HP	DesignJet 755	51645A#140	HP 45 Black Original Ink Cartridge (51645A)
HP	DesignJet 755cm	51645A#140	HP 45 Black Original Ink Cartridge (51645A)
HP	Designjet 800 (24 in)	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 800 (24 in)	C4844A	HP 10 Black Original Ink Cartridge (C4844A)
HP	Designjet 800 (24 in)	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 800 (24 in)	CH565A	HP 82 Black Ink Cartridge (CH565A)
HP	Designjet 800 (24 in)	CH566A	HP 82 Cyan Ink Cartridge (CH566A)
HP	Designjet 800 (24 in)	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 800 (24 in)	CH568A	HP 82 Yellow Ink Cartridge (CH568A)
HP	Designjet 800 (24 in)	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
HP	Designjet 800 (24 in)	C4836A	HP 11 Cyan Original Ink Cartridge (C4836A)
HP	Designjet 800 (24 in)	C4912A	HP 82 Magenta Ink Cartridge (C4912A)
HP	Designjet 800 (24 in)	CH567A	HP 82 Magenta Ink Cartridge (CH567A)
HP	Designjet 800 (24 in)	C4913A	HP 82 Yellow Ink Cartridge (C4913A)
HP	Designjet 800 (24 in)	C4911A	HP 82 Cyan Ink Cartridge (C4911A)
HP	Designjet 800ps (24 in)	C4811A	HP 11 Cyan Original Printhead (C4811A)
HP	Designjet 800ps (24 in)	C4844A	HP 10 Black Original Ink Cartridge (C4844A)
HP	Designjet 800ps (24 in)	C4810A	HP 11 Black Original Printhead (C4810A)
HP	Designjet 800ps (24 in)	CH565A	HP 82 Black Ink Cartridge (CH565A)
HP	Designjet 800ps (24 in)	CH566A	HP 82 Cyan Ink Cartridge (CH566A)
HP	Designjet 800ps (24 in)	C4837A	HP 11 Magenta Original Ink Cartridge (C4837A)
HP	Designjet 800ps (24 in)	CH568A	HP 82 Yellow Ink Cartridge (CH568A)
HP	Designjet 800ps (24 in)	C4838A	HP 11 Yellow Original Ink Cartridge (C4838A)
